[run] M-ours-dscore: built from explicit ckpt ckpt/d2sx_N10000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
[run] D2 7 points x n=640 -> 112 tasks on 112 workers (prior S2, cells ['C2'], chunk 40) -> /home/HTJ/t2/conf/raw_supp
27/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip160_n40.npz  (152 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.05 M-ours-gmm32=0.00 R5-genie=0.00
28/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip240_n40.npz  (152 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.12 R4-scvamp=0.15 M-ours-gmm32=0.03 R5-genie=0.00
29/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip240_n40.npz  (152 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.07 R4-scvamp=0.05 M-ours-gmm32=0.00 R5-genie=0.00
30/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip400_n40.npz  (153 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.07 R4-scvamp=0.17 M-ours-gmm32=0.05 R5-genie=0.00
31/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip360_n40.npz  (153 s)  BLER16: R2-ours-G=0.07 R3-bigamp=0.12 R4-scvamp=0.17 M-ours-gmm32=0.05 R5-genie=0.00
32/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip200_n40.npz  (153 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.05 M-ours-gmm32=0.00 R5-genie=0.00
33/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip280_n40.npz  (153 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.10 R4-scvamp=0.25 M-ours-gmm32=0.07 R5-genie=0.03
34/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip480_n40.npz  (154 s)  BLER16: R2-ours-G=0.07 R3-bigamp=0.07 R4-scvamp=0.10 M-ours-gmm32=0.07 R5-genie=0.00
35/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip560_n40.npz  (154 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.07 M-ours-gmm32=0.00 R5-genie=0.00
36/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip120_n40.npz  (154 s)  BLER16: R2-ours-G=0.15 R3-bigamp=0.35 R4-scvamp=0.35 M-ours-gmm32=0.17 R5-genie=0.00
37/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip80_n40.npz  (154 s)  BLER16: R2-ours-G=0.17 R3-bigamp=0.25 R4-scvamp=0.33 M-ours-gmm32=0.10 R5-genie=0.00
38/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip440_n40.npz  (154 s)  BLER16: R2-ours-G=0.35 R3-bigamp=0.55 R4-scvamp=0.53 M-ours-gmm32=0.30 R5-genie=0.07
39/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr9_skip40_n40.npz  (156 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.00 R4-scvamp=0.00 M-ours-gmm32=0.00 R5-genie=0.00
40/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip160_n40.npz  (156 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.15 R4-scvamp=0.12 M-ours-gmm32=0.00 R5-genie=0.00
41/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr9_skip400_n40.npz  (156 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.07 R4-scvamp=0.03 M-ours-gmm32=0.00 R5-genie=0.00
42/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip360_n40.npz  (157 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.03 R4-scvamp=0.03 M-ours-gmm32=0.00 R5-genie=0.00
43/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip80_n40.npz  (157 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.00 R4-scvamp=0.05 M-ours-gmm32=0.03 R5-genie=0.00
44/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip0_n40.npz  (157 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.00 M-ours-gmm32=0.00 R5-genie=0.00
45/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip400_n40.npz  (157 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.07 R4-scvamp=0.03 M-ours-gmm32=0.00 R5-genie=0.00
46/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip520_n40.npz  (157 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.05 R4-scvamp=0.12 M-ours-gmm32=0.03 R5-genie=0.00
47/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip480_n40.npz  (158 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.03 R4-scvamp=0.03 M-ours-gmm32=0.00 R5-genie=0.00
48/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr9_skip440_n40.npz  (158 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.00 R4-scvamp=0.00 M-ours-gmm32=0.00 R5-genie=0.00
49/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip40_n40.npz  (158 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.05 R4-scvamp=0.10 M-ours-gmm32=0.03 R5-genie=0.00
50/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip280_n40.npz  (158 s)  BLER16: R2-ours-G=0.42 R3-bigamp=0.62 R4-scvamp=0.62 M-ours-gmm32=0.35 R5-genie=0.00
51/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr9_skip360_n40.npz  (159 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.07 R4-scvamp=0.07 M-ours-gmm32=0.00 R5-genie=0.00
52/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip520_n40.npz  (159 s)  BLER16: R2-ours-G=0.28 R3-bigamp=0.50 R4-scvamp=0.65 M-ours-gmm32=0.28 R5-genie=0.00
53/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip520_n40.npz  (159 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.03 R4-scvamp=0.05 M-ours-gmm32=0.00 R5-genie=0.00
54/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip480_n40.npz  (159 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.00 R4-scvamp=0.05 M-ours-gmm32=0.03 R5-genie=0.00
55/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr15_skip240_n40.npz  (159 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.03 M-ours-gmm32=0.00 R5-genie=0.00
56/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip600_n40.npz  (159 s)  BLER16: R2-ours-G=0.20 R3-bigamp=0.53 R4-scvamp=0.50 M-ours-gmm32=0.20 R5-genie=0.00
57/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip200_n40.npz  (160 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.03 R4-scvamp=0.05 M-ours-gmm32=0.03 R5-genie=0.00
58/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip320_n40.npz  (160 s)  BLER16: R2-ours-G=0.15 R3-bigamp=0.30 R4-scvamp=0.35 M-ours-gmm32=0.12 R5-genie=0.00
59/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip40_n40.npz  (160 s)  BLER16: R2-ours-G=0.07 R3-bigamp=0.25 R4-scvamp=0.20 M-ours-gmm32=0.10 R5-genie=0.00
60/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip240_n40.npz  (161 s)  BLER16: R2-ours-G=0.20 R3-bigamp=0.40 R4-scvamp=0.62 M-ours-gmm32=0.20 R5-genie=0.00
