# H1: Jacobian validity as a covariance.  ckpt = ckpt/d2sx_N40000_a1.pt   n = 128 held-out D2 samples/point
# Jr = real Jacobian of tweedie_real (what score.jac_batch returns); J = wirtinger(Jr) (what
# ScorePrior hands RouteAClip._matrix_site, after Hermitian symmetrisation).
# TRUE posterior-mean denoiser => Jr symmetric PSD, and nu*Herm(J) = Cov(h|q) >= 0.

=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  1.768e-01 -1.368e-01     1.483  0.992 |  7.03e-02 -6.881e-02    1.155  0.930  0.773 |     1.000  7.445e-01  2.651e+03
  1 3.9212e-02 3.0751e-03 |  1.906e-01 -1.633e-01     1.680  1.000 |  7.65e-02 -9.388e-02    1.229  0.992  0.750 |     1.000  8.982e-01  6.215e+03
  2 4.6505e-02 4.3255e-03 |  2.034e-01 -1.726e-01     1.896  1.000 |  8.20e-02 -1.053e-01    1.293  0.992  0.758 |     1.000  1.878e+00  9.922e+04
  3 5.5155e-02 6.0842e-03 |  2.171e-01 -1.992e-01     1.707  1.000 |  8.87e-02 -1.284e-01    1.207  1.000  0.758 |     1.000  1.971e+00  1.694e+07
  4 6.5414e-02 8.5579e-03 |  2.285e-01 -2.256e-01     1.686  1.000 |  9.39e-02 -1.146e-01    1.330  0.992  0.766 |     1.000  2.755e+00  1.562e+04
  5 7.7581e-02 1.2038e-02 |  2.420e-01 -2.383e-01     2.372  1.000 |  9.96e-02 -1.097e-01    1.564  1.000  0.773 |     1.000  3.940e+00  1.189e+04
  6 9.2011e-02 1.6932e-02 |  2.557e-01 -3.329e-01     2.697  1.000 |  1.06e-01 -1.166e-01    1.653  1.000  0.781 |     1.000  6.919e+00  8.924e+04
  7 1.0912e-01 2.3816e-02 |  2.668e-01 -4.624e-01     3.234  1.000 |  1.09e-01 -1.022e-01    1.943  1.000  0.805 |     1.000  7.732e+00  8.381e+04
  8 1.2942e-01 3.3500e-02 |  2.777e-01 -5.721e-01     3.358  1.000 |  1.14e-01 -1.134e-01    2.059  1.000  0.836 |     1.000  1.416e+01  6.440e+05
  9 1.5349e-01 4.7121e-02 |  2.828e-01 -6.350e-01     4.503  1.000 |  1.20e-01 -1.361e-01    2.474  0.992  0.859 |     1.000  1.303e+01  1.770e+04
 10 1.8204e-01 6.6280e-02 |  2.713e-01 -5.950e-01     4.030  1.000 |  1.15e-01 -1.154e-01    2.287  0.922  0.891 |     1.000  8.606e+00  1.362e+04
 11 2.1590e-01 9.3229e-02 |  2.722e-01 -5.548e-01     4.381  1.000 |  1.18e-01 -1.922e-01    2.426  0.906  0.906 |     1.000  8.409e+00  3.603e+07
 12 2.5606e-01 1.3114e-01 |  2.556e-01 -4.085e-01     5.597  0.977 |  1.13e-01 -1.502e-01    3.090  0.656  0.914 |     1.000  1.481e+00  9.824e+03
 13 3.0369e-01 1.8445e-01 |  2.413e-01 -2.863e-01     5.393  0.953 |  1.07e-01 -8.767e-02    2.953  0.461  0.938 |     0.992  8.827e-03  2.975e+06
 14 3.6018e-01 2.5945e-01 |  2.256e-01 -2.084e-01     4.015  0.977 |  9.92e-02 -8.531e-02    2.315  0.531  0.945 |     1.000  1.557e-01  7.195e+04
 15 4.2717e-01 3.6495e-01 |  2.026e-01 -1.109e-01     3.444  0.750 |  8.99e-02 -4.265e-02    2.031  0.273  0.977 |     0.992  2.156e-03  2.825e+05
 16 5.0662e-01 5.1333e-01 |  1.911e-01 -6.838e-02     2.960  0.703 |  8.76e-02 -2.096e-02    1.844  0.242  0.969 |     0.984  1.564e-03  7.821e+03
 17 6.0085e-01 7.2205e-01 |  1.795e-01 -5.884e-02     3.038  0.672 |  8.49e-02 -1.735e-02    1.882  0.148  0.953 |     0.969  8.284e-04  6.921e+02
