
# ===== 2026-09-22 12:08:31 KST  D1V3160000 attempt 1  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 0.01 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch   42 | train 7.390542e-01 | val 7.400306e-01 |  73.767 s | best 7.400306e-01 @42 * | asym_reg 4.629299e-02
epoch   43 | train 7.391643e-01 | val 7.400219e-01 |  70.609 s | best 7.400219e-01 @43 * | asym_reg 4.557660e-02
epoch   44 | train 7.392639e-01 | val 7.400141e-01 |  71.964 s | best 7.400141e-01 @44 * | asym_reg 4.547577e-02
epoch   45 | train 7.399245e-01 | val 7.400038e-01 |  57.767 s | best 7.400038e-01 @45 * | asym_reg 4.506834e-02
epoch   46 | train 7.413863e-01 | val 7.399927e-01 |  58.803 s | best 7.399927e-01 @46 * | asym_reg 4.524104e-02
epoch   47 | train 7.414717e-01 | val 7.399799e-01 |  53.683 s | best 7.399799e-01 @47 * | asym_reg 4.547286e-02
epoch   48 | train 7.403181e-01 | val 7.399811e-01 |  82.241 s | best 7.399799e-01 @47 | asym_reg 4.450510e-02
epoch   49 | train 7.389211e-01 | val 7.399986e-01 |  81.435 s | best 7.399799e-01 @47 | asym_reg 4.493386e-02
epoch   50 | train 7.406895e-01 | val 7.400058e-01 |  84.642 s | best 7.399799e-01 @47 | asym_reg 4.457435e-02
epoch   51 | train 7.401156e-01 | val 7.399971e-01 |  79.659 s | best 7.399799e-01 @47 | asym_reg 4.442795e-02
epoch   52 | train 7.397326e-01 | val 7.399822e-01 |  83.378 s | best 7.399799e-01 @47 | asym_reg 4.374377e-02
epoch   53 | train 7.396467e-01 | val 7.399718e-01 |  86.845 s | best 7.399718e-01 @53 * | asym_reg 4.460765e-02
epoch   54 | train 7.402047e-01 | val 7.399667e-01 |  84.426 s | best 7.399667e-01 @54 * | asym_reg 4.342776e-02
epoch   55 | train 7.393072e-01 | val 7.399613e-01 |  80.914 s | best 7.399613e-01 @55 * | asym_reg 4.440244e-02
epoch   56 | train 7.400243e-01 | val 7.399673e-01 |  88.767 s | best 7.399613e-01 @55 | asym_reg 4.322886e-02
epoch   57 | train 7.393580e-01 | val 7.399648e-01 |  78.059 s | best 7.399613e-01 @55 | asym_reg 4.340414e-02
epoch   58 | train 7.404918e-01 | val 7.399575e-01 |  78.822 s | best 7.399575e-01 @58 * | asym_reg 4.240852e-02
epoch   59 | train 7.392760e-01 | val 7.399594e-01 |  77.718 s | best 7.399575e-01 @58 | asym_reg 4.271927e-02
epoch   60 | train 7.409351e-01 | val 7.399604e-01 |  79.112 s | best 7.399575e-01 @58 | asym_reg 4.209068e-02
epoch   61 | train 7.387868e-01 | val 7.399523e-01 |  79.217 s | best 7.399523e-01 @61 * | asym_reg 4.236147e-02
epoch   62 | train 7.384618e-01 | val 7.399387e-01 |  74.811 s | best 7.399387e-01 @62 * | asym_reg 4.249378e-02
epoch   63 | train 7.411293e-01 | val 7.399275e-01 |  70.488 s | best 7.399275e-01 @63 * | asym_reg 4.242897e-02
