
# ===== 2026-09-22 12:08:31 KST  D1V3160000 attempt 2  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 0.1 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch   31 | train 7.444778e-01 | val 7.425185e-01 |  96.386 s | best 7.425185e-01 @31 * | asym_reg 3.160846e-02 | gnorm mean 6.341e-01 max 1.964e+00
epoch   32 | train 7.452403e-01 | val 7.424296e-01 |  99.256 s | best 7.424296e-01 @32 * | asym_reg 3.215252e-02 | gnorm mean 6.054e-01 max 2.748e+00
epoch   33 | train 7.451009e-01 | val 7.422616e-01 | 108.528 s | best 7.422616e-01 @33 * | asym_reg 3.087073e-02 | gnorm mean 7.132e-01 max 2.005e+00
epoch   34 | train 7.456901e-01 | val 7.428731e-01 | 120.800 s | best 7.422616e-01 @33 | asym_reg 3.614399e-02 | gnorm mean 6.548e-01 max 1.693e+00
epoch   35 | train 7.451873e-01 | val 7.427742e-01 | 114.572 s | best 7.422616e-01 @33 | asym_reg 3.339291e-02 | gnorm mean 6.220e-01 max 4.359e+00
epoch   36 | train 7.452490e-01 | val 7.427747e-01 | 133.072 s | best 7.422616e-01 @33 | asym_reg 3.269380e-02 | gnorm mean 6.157e-01 max 2.531e+00
epoch   37 | train 7.434344e-01 | val 7.425982e-01 | 108.252 s | best 7.422616e-01 @33 | asym_reg 3.182364e-02 | gnorm mean 5.760e-01 max 1.988e+00
epoch   38 | train 7.468370e-01 | val 7.427853e-01 | 107.795 s | best 7.422616e-01 @33 | asym_reg 3.665098e-02 | gnorm mean 5.901e-01 max 2.157e+00
epoch   39 | train 7.465465e-01 | val 7.435635e-01 |  91.471 s | best 7.422616e-01 @33 | asym_reg 3.690337e-02 | gnorm mean 5.222e-01 max 3.117e+00
epoch   40 | train 7.450671e-01 | val 7.427452e-01 | 101.083 s | best 7.422616e-01 @33 | asym_reg 3.044057e-02 | gnorm mean 5.143e-01 max 1.983e+00
epoch   41 | train 7.462833e-01 | val 7.427124e-01 | 111.256 s | best 7.422616e-01 @33 | asym_reg 3.454047e-02 | gnorm mean 5.888e-01 max 2.759e+00
epoch   42 | train 7.450176e-01 | val 7.431573e-01 |  75.146 s | best 7.422616e-01 @33 | asym_reg 3.544304e-02 | gnorm mean 4.334e-01 max 4.192e+00
epoch   43 | train 7.459475e-01 | val 7.436386e-01 |  72.905 s | best 7.422616e-01 @33 | asym_reg 3.983771e-02 | gnorm mean 4.503e-01 max 1.477e+00
epoch   44 | train 7.470873e-01 | val 7.443585e-01 |  68.964 s | best 7.422616e-01 @33 | asym_reg 3.983375e-02 | gnorm mean 4.553e-01 max 4.214e+00
epoch   45 | train 7.498385e-01 | val 7.456018e-01 |  67.398 s | best 7.422616e-01 @33 | asym_reg 5.025029e-02 | gnorm mean 6.351e-01 max 3.481e+01
epoch   46 | train 7.480884e-01 | val 7.478086e-01 |  60.315 s | best 7.422616e-01 @33 | asym_reg 3.893043e-02 | gnorm mean 3.715e-01 max 6.174e+00
epoch   47 | train 7.451777e-01 | val 7.468826e-01 |  62.020 s | best 7.422616e-01 @33 | asym_reg 3.435830e-02 | gnorm mean 3.896e-01 max 2.409e+00
epoch   48 | train 7.498717e-01 | val 7.467939e-01 |  28.235 s | best 7.422616e-01 @33 | asym_reg 4.066521e-02 | gnorm mean 5.608e-01 max 1.116e+01
epoch   49 | train 7.486372e-01 | val 7.473532e-01 |  72.003 s | best 7.422616e-01 @33 | asym_reg 4.438638e-02 | gnorm mean 4.615e-01 max 4.438e+00
epoch   50 | train 7.554315e-01 | val 7.510182e-01 |  87.434 s | best 7.422616e-01 @33 | asym_reg 5.251250e-02 | gnorm mean 6.260e-01 max 5.080e+00
epoch   51 | train 7.496354e-01 | val 7.508346e-01 |  86.671 s | best 7.422616e-01 @33 | asym_reg 5.114260e-02 | gnorm mean 3.166e+00 max 1.083e+03
epoch   52 | train 7.458916e-01 | val 7.476787e-01 |  83.636 s | best 7.422616e-01 @33 | asym_reg 4.024981e-02 | gnorm mean 3.563e-01 max 1.622e+00
epoch   53 | train 7.486163e-01 | val 7.470073e-01 |  83.305 s | best 7.422616e-01 @33 | asym_reg 4.422663e-02 | gnorm mean 4.370e-01 max 3.074e+00
epoch   54 | train 7.461881e-01 | val 7.461400e-01 |  92.717 s | best 7.422616e-01 @33 | asym_reg 4.004367e-02 | gnorm mean 3.684e-01 max 1.170e+00
epoch   55 | train 7.505995e-01 | val 7.460421e-01 | 100.542 s | best 7.422616e-01 @33 | asym_reg 4.428977e-02 | gnorm mean 6.560e-01 max 8.207e+00
epoch   56 | train 7.468351e-01 | val 7.459847e-01 |  88.225 s | best 7.422616e-01 @33 | asym_reg 4.320459e-02 | gnorm mean 3.879e-01 max 1.197e+00
epoch   57 | train 7.513693e-01 | val 7.454237e-01 |  79.546 s | best 7.422616e-01 @33 | asym_reg 5.736513e-02 | gnorm mean 4.831e-01 max 3.567e+00
epoch   58 | train 7.502666e-01 | val 7.452984e-01 |  81.393 s | best 7.422616e-01 @33 | asym_reg 5.025258e-02 | gnorm mean 5.078e-01 max 2.380e+00
epoch   59 | train 7.514027e-01 | val 7.459767e-01 |  77.536 s | best 7.422616e-01 @33 | asym_reg 4.760765e-02 | gnorm mean 4.741e-01 max 6.173e+00
epoch   60 | train 7.462331e-01 | val 7.444402e-01 |  78.696 s | best 7.422616e-01 @33 | asym_reg 3.840185e-02 | gnorm mean 3.659e-01 max 1.527e+00
epoch   61 | train 7.515519e-01 | val 7.443035e-01 |  77.417 s | best 7.422616e-01 @33 | asym_reg 4.537719e-02 | gnorm mean 5.937e-01 max 9.195e+00
epoch   62 | train 7.474981e-01 | val 7.440422e-01 |  79.093 s | best 7.422616e-01 @33 | asym_reg 4.566177e-02 | gnorm mean 4.616e-01 max 2.448e+00
epoch   63 | train 7.482161e-01 | val 7.448777e-01 |  74.726 s | best 7.422616e-01 @33 | asym_reg 4.785841e-02 | gnorm mean 4.409e-01 max 2.184e+00
epoch   64 | train 7.487400e-01 | val 7.449748e-01 |  72.208 s | best 7.422616e-01 @33 | asym_reg 4.692207e-02 | gnorm mean 4.999e-01 max 4.682e+00
