
# ===== 2026-09-22 03:41:36 KST  D1V3160000 attempt 3  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.000746015350530356, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 1.0 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch   31 | train 7.603680e-01 | val 7.598283e-01 |  90.789 s | best 7.592002e-01 @24 | asym_reg 4.941871e-03 | gnorm mean 1.448e+00 max 6.554e+00
epoch   32 | train 7.582822e-01 | val 7.575786e-01 |  84.991 s | best 7.575786e-01 @32 * | asym_reg 4.829842e-03 | gnorm mean 9.595e-01 max 3.632e+00
epoch   33 | train 7.574975e-01 | val 7.564524e-01 |  83.919 s | best 7.564524e-01 @33 * | asym_reg 5.051665e-03 | gnorm mean 1.293e+00 max 4.890e+00
epoch   34 | train 7.590764e-01 | val 7.564061e-01 |  86.431 s | best 7.564061e-01 @34 * | asym_reg 5.612725e-03 | gnorm mean 1.880e+00 max 1.082e+01
epoch   35 | train 7.597083e-01 | val 7.664467e-01 |  84.518 s | best 7.564061e-01 @34 | asym_reg 6.019823e-03 | gnorm mean 1.201e+00 max 5.796e+00
epoch   36 | train 7.611573e-01 | val 7.675851e-01 |  86.386 s | best 7.564061e-01 @34 | asym_reg 6.483103e-03 | gnorm mean 1.530e+00 max 1.260e+01
epoch   37 | train 7.596013e-01 | val 7.616456e-01 |  88.703 s | best 7.564061e-01 @34 | asym_reg 5.976787e-03 | gnorm mean 1.878e+00 max 6.995e+00
epoch   38 | train 7.596999e-01 | val 7.606872e-01 |  97.516 s | best 7.564061e-01 @34 | asym_reg 6.622337e-03 | gnorm mean 1.264e+00 max 6.091e+00
epoch   39 | train 7.585978e-01 | val 7.604026e-01 |  96.382 s | best 7.564061e-01 @34 | asym_reg 6.885728e-03 | gnorm mean 1.095e+00 max 9.040e+00
epoch   40 | train 7.625925e-01 | val 7.608396e-01 |  93.451 s | best 7.564061e-01 @34 | asym_reg 7.708595e-03 | gnorm mean 1.360e+00 max 2.419e+01
epoch   41 | train 7.617530e-01 | val 7.602944e-01 |  90.408 s | best 7.564061e-01 @34 | asym_reg 7.257454e-03 | gnorm mean 1.371e+00 max 6.280e+00
epoch   42 | train 7.660440e-01 | val 7.630886e-01 |  91.701 s | best 7.564061e-01 @34 | asym_reg 8.171896e-03 | gnorm mean 1.183e+00 max 4.941e+00
epoch   43 | train 7.617230e-01 | val 7.600315e-01 |  76.747 s | best 7.564061e-01 @34 | asym_reg 7.371260e-03 | gnorm mean 1.078e+00 max 4.756e+00
