
# ===== 2026-09-21 16:17:01 KST  D1V2160000 attempt 3  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.000746015350530356, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1, 'head': 'energy'}  params=479361
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch   38 | train 7.396014e-01 | val 7.401686e-01 |  53.396 s | best 7.401686e-01 @38 * | gnorm mean 5.639e-02 max 1.284e-01
epoch   39 | train 7.381610e-01 | val 7.401432e-01 |  53.304 s | best 7.401432e-01 @39 * | gnorm mean 5.414e-02 max 1.202e-01
epoch   40 | train 7.385381e-01 | val 7.401137e-01 |  43.385 s | best 7.401137e-01 @40 * | gnorm mean 5.524e-02 max 1.361e-01
epoch   41 | train 7.380294e-01 | val 7.400940e-01 |  52.860 s | best 7.400940e-01 @41 * | gnorm mean 5.521e-02 max 1.255e-01
epoch   42 | train 7.389450e-01 | val 7.400836e-01 |  46.686 s | best 7.400836e-01 @42 * | gnorm mean 5.259e-02 max 1.219e-01
epoch   43 | train 7.392810e-01 | val 7.400700e-01 |  50.937 s | best 7.400700e-01 @43 * | gnorm mean 5.130e-02 max 1.322e-01
epoch   44 | train 7.392736e-01 | val 7.400475e-01 |  52.746 s | best 7.400475e-01 @44 * | gnorm mean 5.338e-02 max 1.552e-01
epoch   45 | train 7.377860e-01 | val 7.400277e-01 |  40.712 s | best 7.400277e-01 @45 * | gnorm mean 5.121e-02 max 1.031e-01
epoch   46 | train 7.386117e-01 | val 7.400205e-01 |  44.013 s | best 7.400205e-01 @46 * | gnorm mean 5.151e-02 max 1.272e-01
epoch   47 | train 7.387599e-01 | val 7.400219e-01 |  48.076 s | best 7.400205e-01 @46 | gnorm mean 4.960e-02 max 1.108e-01
epoch   48 | train 7.382134e-01 | val 7.400238e-01 |  49.468 s | best 7.400205e-01 @46 | gnorm mean 5.236e-02 max 1.278e-01
epoch   49 | train 7.397025e-01 | val 7.400153e-01 |  53.875 s | best 7.400153e-01 @49 * | gnorm mean 5.192e-02 max 1.201e-01
epoch   50 | train 7.398218e-01 | val 7.399926e-01 |  51.483 s | best 7.399926e-01 @50 * | gnorm mean 4.998e-02 max 1.353e-01
epoch   51 | train 7.388831e-01 | val 7.399787e-01 |  49.784 s | best 7.399787e-01 @51 * | gnorm mean 4.986e-02 max 1.364e-01
epoch   52 | train 7.379390e-01 | val 7.399608e-01 |  51.475 s | best 7.399608e-01 @52 * | gnorm mean 4.755e-02 max 9.376e-02
epoch   53 | train 7.397883e-01 | val 7.399657e-01 |  51.276 s | best 7.399608e-01 @52 | gnorm mean 5.023e-02 max 1.332e-01
epoch   54 | train 7.392913e-01 | val 7.399654e-01 |  54.202 s | best 7.399608e-01 @52 | gnorm mean 4.852e-02 max 1.206e-01
epoch   55 | train 7.394700e-01 | val 7.399608e-01 |  54.060 s | best 7.399608e-01 @52 | gnorm mean 4.743e-02 max 9.644e-02
epoch   56 | train 7.392236e-01 | val 7.399480e-01 |  54.048 s | best 7.399480e-01 @56 * | gnorm mean 4.596e-02 max 1.144e-01
epoch   57 | train 7.390430e-01 | val 7.399419e-01 |  54.055 s | best 7.399419e-01 @57 * | gnorm mean 4.842e-02 max 1.472e-01
epoch   58 | train 7.392695e-01 | val 7.399362e-01 |  53.663 s | best 7.399362e-01 @58 * | gnorm mean 4.703e-02 max 1.109e-01
epoch   59 | train 7.385591e-01 | val 7.399414e-01 |  50.530 s | best 7.399362e-01 @58 | gnorm mean 4.599e-02 max 1.002e-01
epoch   60 | train 7.383102e-01 | val 7.399408e-01 |  53.178 s | best 7.399362e-01 @58 | gnorm mean 4.534e-02 max 9.324e-02
