trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
12,10.926112836642101,57.9,,dit,edm,angle,128,7,5.514573610166747e-05,0.9999,512,64,4,1,2140418,23,0.9905089735984802,patience,1.302881823643467e-16,0.5463056418321051,0.9274886391901309,0.7594725583958624,0.5543660010107522
13,10.839466213620636,48.1,,conv,edm,angle,32,7,0.0008948148729305578,0.999,512,128,,,135842,19,0.9906748533248901,patience,1.7338922340437103e-16,0.5419733106810318,0.9881613757506804,0.7217727160548233,0.48725948682810416
9,6.091404604221864,1273.9,,unet,ve,angle,32,7,0.000626174526577653,0.9999,128,256,,,1285538,275,0.7443332672119141,patience,1.8322743938509945e-16,0.12138917321383125,0.9137106906332796,0.47617410481775735,0.3860602320107545
14,2.8450415821099253,418.2,,conv,edm,pixel,16,4,0.0002286954507830925,0.999,128,64,,,20466,542,0.8231138586997986,patience,1.852603186160784e-16,0.03558903278348935,0.42675623731648876,0.23748511489537988,0.026978323559502772
10,8.228804141455411,148.4,,unet,ve,pixel,64,5,0.00040322001381442327,0.9995,512,128,,,4192450,169,0.7471646070480347,patience,1.861597086079506e-16,0.10574879391462844,1.2343206212183115,0.375052460692524,0.33099807756687405
5,10.28210753041624,533.2,,adm,vp,pixel,48,5,0.0008523313674600912,0.9999,256,128,2,,2834738,296,0.7585369944572449,patience,1.6367409315914151e-15,0.27679653657383096,1.5423161295624361,0.6350634735020417,0.25199058432226545
13,4.7534257594520115,504.6,,dit,vp,pixel,256,5,5.4211340518538896e-05,0.9995,256,256,8,2,6187016,353,0.7460785508155823,patience,1.1850615658111942e-15,0.061783711381774076,0.7130138639178016,0.337887749266478,0.03336492270478123
15,9.582845819155732,283.9,,conv,edm,pixel,64,5,0.0009624153251619571,0.9999,256,256,,,392258,530,0.8387865424156189,patience,2.0620352551359212e-16,0.08146664683295834,1.43742687287336,0.2501009425237583,0.09796287152076472
11,6.8175258598435535,312.3,,unet,ve,angle,48,6,0.00013614779969438163,0.9995,512,128,,,2838386,196,0.747765302658081,patience,1.7776176322231635e-16,0.11300585963504584,1.022628878976533,0.4554119502219854,0.29977479409649865
14,3.834070520667768,364.7,,dit,edm,pixel,64,4,0.00014499747194562742,0.99,512,256,2,1,330050,600,0.8551652431488037,max_epochs,1.7489072976789822e-16,0.10927166941826627,0.5751105781001652,0.379972503795601,0.1044314621481199
16,25.132476005658837,216.8,,conv,vp,pixel,32,7,9.583293876410904e-05,0.9999,512,64,,,133794,600,0.8709331750869751,max_epochs,4.513865390519158e-16,1.256623800282942,0.7756759358015564,1.3878488676411638,1.701115315552123
17,2.395037397149179,104.3,,conv,vp,pixel,96,3,0.00019559724745986292,0.999,512,64,,,517346,335,0.7304043173789978,patience,9.076208609870452e-16,0.03396328465029064,0.35925560957237684,0.2321051358630666,0.04439428560097464
18,1770.6120485206368,46.5,,conv,edm,pixel,128,4,0.004170811989502172,0.999,256,64,,,1210242,20,0.9584059119224548,patience,1.4258269509611484e-16,88.53060242603185,63.04322421185651,1.1390892653327949,0.4435985750075802
6,7.125163506023681,685.3,,adm,edm,pixel,96,4,0.0004155311705902924,0.9999,128,256,2,,11317346,186,0.8343464136123657,patience,1.9321862415838924e-16,0.07818151873274148,1.0687745259035522,0.2701392388523352,0.15170067537223245
19,2.1002273367628694,190.3,,conv,vp,pixel,64,5,0.00018507279171068737,0.999,128,256,,,392258,159,0.7290022969245911,patience,9.117623072754995e-16,0.027362112192238275,0.31503410051443037,0.22119264364744784,0.038830030116013124
7,12.097512623147068,268.6,,adm,ve,pixel,128,4,6.207516843265905e-05,0.9995,512,256,4,,20066434,146,0.7562352418899536,patience,1.6256822184367468e-16,0.1892301182538667,1.8146268934720602,0.5189294823642652,0.45752684599570315
20,3.0621160067036457,195.9,,conv,edm,pixel,48,6,5.168187573973288e-05,0.999,512,128,,,259730,600,0.824674129486084,max_epochs,2.402694813005143e-16,0.042837031156651495,0.45931740100554685,0.25007920991263666,0.032348227239242903
15,2.5893302126101814,606.9,,dit,edm,pixel,192,6,0.000700678462894837,0.99,128,128,2,1,4141634,205,0.8263646960258484,patience,1.7962401663493847e-16,0.029641071822963827,0.3883995318915272,0.2194024448092181,0.026143286521856997
21,2.0263036563083325,71.6,,conv,edm,angle,64,3,0.0010671027641617045,0.99,512,256,,,244546,96,0.8238587975502014,patience,2.303098761230101e-16,0.06583487203571559,0.3039455484462499,0.36891391302890825,0.07148420581445046
16,4.195061580550221,161.5,,dit,ve,pixel,256,3,0.0012691976657261649,0.999,512,256,2,2,3820040,243,0.7438551187515259,patience,2.5905770067302746e-16,0.053242063313442944,0.6292592370825332,0.31122821555251695,0.050675487348857275
22,2.4784352823883062,136.7,,conv,vp,pixel,128,7,6.742839769311629e-05,0.999,512,64,,,2095746,313,0.7302830219268799,patience,9.339444535551838e-16,0.035278943768394244,0.3717652923582459,0.24346303253042617,0.05032221091225594
23,2.4771534562492326,107.2,,conv,edm,pixel,48,5,0.0002066763702621363,0.99,512,128,,,218162,299,0.8210802674293518,patience,1.8061143101239673e-16,0.023211633970546153,0.3715730184373849,0.19601690473514283,0.020304990111841614
24,10.918168567789598,41.0,,conv,edm,angle,32,3,0.0005657331380452341,0.999,512,128,,,61858,16,0.990675687789917,patience,1.4930553316326776e-16,0.54590842838948,1.002146771359509,0.723922175544784,0.49032408137013916
12,4.520600635476179,1035.6,,unet,ve,angle,16,2,0.00010910848403647709,0.9999,256,128,,,270130,600,0.7419178485870361,max_epochs,2.2312453906515174e-16,0.12563710735573785,0.6780900953214268,0.4801565571290908,0.2397196518802587
8,1.9196238856753678,410.5,,adm,vp,pixel,64,2,0.0010417817875202917,0.999,128,128,4,,5023810,114,0.7282228469848633,patience,1.0660025994551514e-15,0.022935726116222854,0.28794358285130517,0.23605275838185216,0.034663191146020136
17,4.448613335727565,245.8,,dit,vp,angle,256,4,0.0008499232177125121,0.9995,256,64,4,2,4954376,184,0.7335196137428284,patience,1.3493416750652996e-15,0.032118505256536034,0.6672920003591347,0.2550254190242215,0.06987458981359053
13,2.1464778657987256,218.2,,unet,edm,pixel,64,3,0.0009254693239220365,0.99,128,64,,,4176066,75,0.8208995461463928,patience,2.2215483601168767e-16,0.01823999304335433,0.32197167986980885,0.18618566085344349,0.02037554983056166
9,2.9362953333603943,270.5,,adm,ve,angle,32,2,7.273091421782246e-05,0.999,512,256,4,,1284130,184,0.7354437708854675,patience,3.984319751593528e-16,0.08018721624096559,0.44044430000405915,0.4656265192519972,0.1524451231304051
25,2.8425894382704304,507.4,,conv,vp,pixel,32,4,5.140980504965306e-05,0.9995,128,128,,,80354,600,0.7338236570358276,max_epochs,8.522933103279999e-16,0.057955114946879105,0.4263884157405645,0.31680777896404133,0.051576731066363374
0,8.070224284598556,131.6,,mlp,edm,pixel,384,3,0.0015904948035800374,0.9999,512,128,,,1134016,600,0.8844909071922302,max_epochs,1.9947297658485508e-16,0.2171149888630719,1.2105336426897833,0.3938435238429552,0.2027830734319879
