
# ===== 2026-09-21 05:25:54 KST  HPO attempt 27  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'vp', 'domain': 'angle', 'lr': 9.540740546480238e-05, 'ema': 0.999, 'batch': 512, 'emb': 256, 'width': 128, 'depth': 8}  params=330176
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch   56 | train 8.115770e-01 | val 9.457984e-01 |   0.208 s | best 9.457984e-01 @56 *
epoch   57 | train 8.081854e-01 | val 9.444788e-01 |   0.210 s | best 9.444788e-01 @57 *
epoch   58 | train 8.069346e-01 | val 9.431351e-01 |   0.211 s | best 9.431351e-01 @58 *
epoch   59 | train 8.053952e-01 | val 9.417672e-01 |   0.205 s | best 9.417672e-01 @59 *
epoch   60 | train 8.091162e-01 | val 9.403737e-01 |   0.204 s | best 9.403737e-01 @60 *
epoch   61 | train 8.096225e-01 | val 9.389573e-01 |   0.213 s | best 9.389573e-01 @61 *
epoch   62 | train 8.026354e-01 | val 9.375181e-01 |   0.213 s | best 9.375181e-01 @62 *
epoch   63 | train 8.058259e-01 | val 9.360541e-01 |   0.208 s | best 9.360541e-01 @63 *
epoch   64 | train 8.060271e-01 | val 9.345673e-01 |   0.207 s | best 9.345673e-01 @64 *
epoch   65 | train 8.077682e-01 | val 9.330558e-01 |   0.212 s | best 9.330558e-01 @65 *
epoch   66 | train 8.071508e-01 | val 9.315215e-01 |   0.211 s | best 9.315215e-01 @66 *
epoch   67 | train 8.066644e-01 | val 9.299650e-01 |   0.207 s | best 9.299650e-01 @67 *
epoch   68 | train 8.059109e-01 | val 9.283863e-01 |   0.205 s | best 9.283863e-01 @68 *
epoch   69 | train 8.080131e-01 | val 9.267884e-01 |   0.210 s | best 9.267884e-01 @69 *
epoch   70 | train 8.064358e-01 | val 9.251698e-01 |   0.211 s | best 9.251698e-01 @70 *
epoch   71 | train 8.054157e-01 | val 9.235303e-01 |   0.207 s | best 9.235303e-01 @71 *
