
# ===== 2026-09-21 00:49:35 KST  HPO attempt 580  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'edm', 'domain': 'angle', 'lr': 0.0033251774974429054, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.671869e-01 | val 1.002432e+00 |   1.028 s | best 1.002432e+00 @1 *
epoch    2 | train 9.131304e-01 | val 1.089396e+00 |   1.368 s | best 1.002432e+00 @1
epoch    3 | train 9.018200e-01 | val 1.078493e+00 |   1.371 s | best 1.002432e+00 @1
epoch    4 | train 8.981473e-01 | val 9.891345e-01 |   1.369 s | best 9.891345e-01 @4 *
epoch    5 | train 8.985019e-01 | val 9.299985e-01 |   1.364 s | best 9.299985e-01 @5 *
epoch    6 | train 8.966083e-01 | val 9.026067e-01 |   1.367 s | best 9.026067e-01 @6 *
epoch    7 | train 8.980281e-01 | val 8.921440e-01 |   1.370 s | best 8.921440e-01 @7 *
epoch    8 | train 8.950458e-01 | val 8.871976e-01 |   1.367 s | best 8.871976e-01 @8 *
epoch    9 | train 8.916666e-01 | val 8.851674e-01 |   1.364 s | best 8.851674e-01 @9 *
epoch   10 | train 8.936132e-01 | val 8.839406e-01 |   1.369 s | best 8.839406e-01 @10 *
epoch   11 | train 8.987745e-01 | val 8.834077e-01 |   1.367 s | best 8.834077e-01 @11 *
epoch   12 | train 8.952368e-01 | val 8.829432e-01 |   1.368 s | best 8.829432e-01 @12 *
