
# ===== 2026-09-20 23:29:08 KST  HPO attempt 505  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 'vp', 'domain': 'pixel', 'lr': 0.0034715285975408404, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 128, 'depth': 2, 'heads': 2, 'attn_at': 8}  params=20066434
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch   55 | train 8.697149e-01 | val 8.573292e-01 |   1.450 s | best 8.573292e-01 @55 *
epoch   56 | train 8.667764e-01 | val 8.556446e-01 |   1.435 s | best 8.556446e-01 @56 *
epoch   57 | train 8.672911e-01 | val 8.536291e-01 |   1.427 s | best 8.536291e-01 @57 *
epoch   58 | train 8.599304e-01 | val 8.511270e-01 |   1.356 s | best 8.511270e-01 @58 *
epoch   59 | train 8.564345e-01 | val 8.481366e-01 |   1.393 s | best 8.481366e-01 @59 *
epoch   60 | train 8.538804e-01 | val 8.452920e-01 |   1.395 s | best 8.452920e-01 @60 *
epoch   61 | train 8.576084e-01 | val 8.427147e-01 |   1.397 s | best 8.427147e-01 @61 *
epoch   62 | train 8.518060e-01 | val 8.404462e-01 |   1.399 s | best 8.404462e-01 @62 *
epoch   63 | train 8.528097e-01 | val 8.386239e-01 |   1.401 s | best 8.386239e-01 @63 *
epoch   64 | train 8.523702e-01 | val 8.371522e-01 |   1.397 s | best 8.371522e-01 @64 *
epoch   65 | train 8.498942e-01 | val 8.358784e-01 |   1.394 s | best 8.358784e-01 @65 *
epoch   66 | train 8.477482e-01 | val 8.349127e-01 |   1.403 s | best 8.349127e-01 @66 *
epoch   67 | train 8.452142e-01 | val 8.338094e-01 |   1.471 s | best 8.338094e-01 @67 *
epoch   68 | train 8.444770e-01 | val 8.320631e-01 |   1.407 s | best 8.320631e-01 @68 *
epoch   69 | train 8.433463e-01 | val 8.298810e-01 |   1.394 s | best 8.298810e-01 @69 *
epoch   70 | train 8.353176e-01 | val 8.274500e-01 |   1.405 s | best 8.274500e-01 @70 *
epoch   71 | train 8.386693e-01 | val 8.254594e-01 |   1.406 s | best 8.254594e-01 @71 *
epoch   72 | train 8.348826e-01 | val 8.238028e-01 |   1.394 s | best 8.238028e-01 @72 *
epoch   73 | train 8.356610e-01 | val 8.226513e-01 |   1.397 s | best 8.226513e-01 @73 *
epoch   74 | train 8.347794e-01 | val 8.216832e-01 |   1.433 s | best 8.216832e-01 @74 *
epoch   75 | train 8.367963e-01 | val 8.206962e-01 |   1.425 s | best 8.206962e-01 @75 *
epoch   76 | train 8.299844e-01 | val 8.191531e-01 |   1.520 s | best 8.191531e-01 @76 *
epoch   77 | train 8.280157e-01 | val 8.168525e-01 |   1.465 s | best 8.168525e-01 @77 *
epoch   78 | train 8.202426e-01 | val 8.140506e-01 |   1.471 s | best 8.140506e-01 @78 *
epoch   79 | train 8.230658e-01 | val 8.108151e-01 |   1.481 s | best 8.108151e-01 @79 *
epoch   80 | train 8.165580e-01 | val 8.079726e-01 |   1.467 s | best 8.079726e-01 @80 *
epoch   81 | train 8.167291e-01 | val 8.053734e-01 |   1.516 s | best 8.053734e-01 @81 *
epoch   82 | train 8.173039e-01 | val 8.030964e-01 |   1.527 s | best 8.030964e-01 @82 *
epoch   83 | train 8.119915e-01 | val 8.010325e-01 |   1.491 s | best 8.010325e-01 @83 *
epoch   84 | train 8.095243e-01 | val 7.992431e-01 |   1.530 s | best 7.992431e-01 @84 *
epoch   85 | train 8.077204e-01 | val 7.973493e-01 |   1.530 s | best 7.973493e-01 @85 *
epoch   86 | train 8.055629e-01 | val 7.953836e-01 |   1.537 s | best 7.953836e-01 @86 *
epoch   87 | train 8.084297e-01 | val 7.936742e-01 |   1.529 s | best 7.936742e-01 @87 *
epoch   88 | train 8.074038e-01 | val 7.923221e-01 |   1.490 s | best 7.923221e-01 @88 *
epoch   89 | train 8.097440e-01 | val 7.913881e-01 |   1.528 s | best 7.913881e-01 @89 *
epoch   90 | train 8.051325e-01 | val 7.905858e-01 |   1.528 s | best 7.905858e-01 @90 *
epoch   91 | train 8.035548e-01 | val 7.900138e-01 |   1.553 s | best 7.900138e-01 @91 *
epoch   92 | train 8.035677e-01 | val 7.896365e-01 |   1.484 s | best 7.896365e-01 @92 *
epoch   93 | train 8.067189e-01 | val 7.892787e-01 |   1.505 s | best 7.892787e-01 @93 *
epoch   94 | train 8.050553e-01 | val 7.889262e-01 |   1.542 s | best 7.889262e-01 @94 *
epoch   95 | train 8.069952e-01 | val 7.885284e-01 |   1.560 s | best 7.885284e-01 @95 *
epoch   96 | train 8.067867e-01 | val 7.881234e-01 |   1.610 s | best 7.881234e-01 @96 *
epoch   97 | train 8.035216e-01 | val 7.875726e-01 |   1.597 s | best 7.875726e-01 @97 *
epoch   98 | train 8.039714e-01 | val 7.870289e-01 |   1.565 s | best 7.870289e-01 @98 *
epoch   99 | train 7.991427e-01 | val 7.862861e-01 |   1.606 s | best 7.862861e-01 @99 *
epoch  100 | train 7.974085e-01 | val 7.856056e-01 |   1.534 s | best 7.856056e-01 @100 *
epoch  101 | train 8.001308e-01 | val 7.846717e-01 |   1.492 s | best 7.846717e-01 @101 *
epoch  102 | train 7.942198e-01 | val 7.832320e-01 |   1.480 s | best 7.832320e-01 @102 *
epoch  103 | train 8.028332e-01 | val 7.821132e-01 |   1.540 s | best 7.821132e-01 @103 *
