
# ===== 2026-09-21 00:54:58 KST  HPO attempt 588  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'edm', 'domain': 'angle', 'lr': 0.0010696206544948022, 'ema': 0.99, 'batch': 128, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.664471e-01 | val 1.002486e+00 |   2.750 s | best 1.002486e+00 @1 *
epoch   56 | train 8.464514e-01 | val 8.296877e-01 |   2.782 s | best 8.296877e-01 @56 *
epoch   57 | train 8.453988e-01 | val 8.297234e-01 |   2.783 s | best 8.296877e-01 @56
epoch   58 | train 8.384160e-01 | val 8.293196e-01 |   2.783 s | best 8.293196e-01 @58 *
epoch   59 | train 8.419862e-01 | val 8.290152e-01 |   2.758 s | best 8.290152e-01 @59 *
epoch   60 | train 8.419065e-01 | val 8.285364e-01 |   2.738 s | best 8.285364e-01 @60 *
epoch   61 | train 8.418813e-01 | val 8.281193e-01 |   2.726 s | best 8.281193e-01 @61 *
epoch   62 | train 8.405178e-01 | val 8.278508e-01 |   2.729 s | best 8.278508e-01 @62 *
epoch   63 | train 8.394288e-01 | val 8.275965e-01 |   2.725 s | best 8.275965e-01 @63 *
epoch   64 | train 8.423965e-01 | val 8.270057e-01 |   2.725 s | best 8.270057e-01 @64 *
epoch   65 | train 8.417191e-01 | val 8.267043e-01 |   2.718 s | best 8.267043e-01 @65 *
