
# ===== 2026-09-21 02:03:34 KST  HPO attempt 671  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.004594060023850266, 'ema': 0.999, 'batch': 256, 'emb': 128, 'width': 64, 'depth': 7, 'heads': 4, 'patch': 1}  params=545922
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.440752e-01 | val 9.810063e-01 |   1.486 s | best 9.810063e-01 @1 *
epoch    2 | train 8.068231e-01 | val 9.725752e-01 |   1.528 s | best 9.725752e-01 @2 *
epoch    3 | train 8.008291e-01 | val 9.658868e-01 |   1.519 s | best 9.658868e-01 @3 *
epoch    4 | train 7.983549e-01 | val 9.599727e-01 |   1.534 s | best 9.599727e-01 @4 *
epoch    5 | train 7.889758e-01 | val 9.550967e-01 |   1.522 s | best 9.550967e-01 @5 *
epoch    6 | train 7.928261e-01 | val 9.508615e-01 |   1.516 s | best 9.508615e-01 @6 *
epoch    7 | train 7.932130e-01 | val 9.467609e-01 |   1.536 s | best 9.467609e-01 @7 *
epoch    8 | train 7.954789e-01 | val 9.426792e-01 |   1.516 s | best 9.426792e-01 @8 *
epoch    9 | train 7.945315e-01 | val 9.384966e-01 |   1.521 s | best 9.384966e-01 @9 *
epoch   10 | train 7.918502e-01 | val 9.340969e-01 |   1.532 s | best 9.340969e-01 @10 *
epoch   11 | train 7.930528e-01 | val 9.297695e-01 |   1.501 s | best 9.297695e-01 @11 *
epoch   12 | train 7.905571e-01 | val 9.254326e-01 |   1.516 s | best 9.254326e-01 @12 *
epoch   13 | train 7.858120e-01 | val 9.207874e-01 |   1.530 s | best 9.207874e-01 @13 *
epoch   14 | train 7.885291e-01 | val 9.160706e-01 |   1.573 s | best 9.160706e-01 @14 *
epoch   15 | train 7.866668e-01 | val 9.113563e-01 |   1.535 s | best 9.113563e-01 @15 *
epoch   16 | train 7.874457e-01 | val 9.062846e-01 |   1.545 s | best 9.062846e-01 @16 *
epoch   17 | train 7.814908e-01 | val 9.012063e-01 |   1.534 s | best 9.012063e-01 @17 *
epoch   18 | train 7.832540e-01 | val 8.960522e-01 |   1.541 s | best 8.960522e-01 @18 *
epoch   19 | train 7.761360e-01 | val 8.908762e-01 |   1.538 s | best 8.908762e-01 @19 *
epoch   20 | train 7.759537e-01 | val 8.854191e-01 |   1.538 s | best 8.854191e-01 @20 *
epoch   21 | train 7.733735e-01 | val 8.796259e-01 |   1.537 s | best 8.796259e-01 @21 *
epoch   22 | train 7.659564e-01 | val 8.738425e-01 |   1.540 s | best 8.738425e-01 @22 *
epoch   23 | train 7.685606e-01 | val 8.678751e-01 |   1.538 s | best 8.678751e-01 @23 *
epoch   24 | train 7.683371e-01 | val 8.617572e-01 |   1.535 s | best 8.617572e-01 @24 *
epoch   25 | train 7.616612e-01 | val 8.553644e-01 |   1.536 s | best 8.553644e-01 @25 *
epoch   26 | train 7.617977e-01 | val 8.488600e-01 |   1.540 s | best 8.488600e-01 @26 *
epoch   27 | train 7.654468e-01 | val 8.425161e-01 |   1.536 s | best 8.425161e-01 @27 *
epoch   28 | train 7.585833e-01 | val 8.361917e-01 |   1.538 s | best 8.361917e-01 @28 *
