# ============================================================================================
# H1 DIAGNOSTIC -- is the learned denoiser's Jacobian a valid covariance?
# date        : 2026-09-21 KST        testbed D2, prior S2, 8x4 (N = Nr*Nt = 32, 2N = 64)
# checkpoint  : conf/ckpt/d2sx_N10000_a1.pt   (FIXED -- nothing retrained, no threshold changed)
# samples     : 64 held-out D2 channels (common.train_rng stream 10, never trained on) per grid point,
#               q = h + sqrt(nu) * eps with the SAME eps as the gates (score.SEED_GATE)
# grid        : the FROZEN measured D2 sigma grid, results/sigma_grid_D2.npz
# code        : conf/code/jacobian_psd.py      raw -> results/diag/jacobian-psd_D2.npz
#
# WHAT IS MEASURED
#   Jr = d/dx [ tweedie_real(model, x, sigma) ]   (64x64 real Jacobian; score.jac_batch, the exact path
#        ScorePrior._eval uses)
#   J  = wirtinger(Jr)                            (32x32 complex; what ScorePrior hands the receiver, after
#        Hermitian symmetrisation -- score.py ScorePrior._eval: "J = 0.5 * (J + J.conj().T)")
#   For a TRUE posterior-mean denoiser under real Gaussian noise of std sigma:
#        Jr = Cov_real(h|q) / sigma^2   ->  SYMMETRIC and PSD,  and  nu*Herm(J) = Cov(h|q) >= 0.
#   asym(Jr) = ||Jr - Jr^T||_F / ||Jr||_F ; lmin/lmax = extreme eigenvalue of the symmetric/Hermitian part;
#   f<0 = fraction of samples with lmin < 0 ; f>1 = fraction with lmax > 1.
#   clipfrac / shift = RouteAClip._matrix_site (Demo/t2_gmm.py:112-122) replayed verbatim on these samples:
#        SigH = nu*Herm(J);  Lam = SigH^-1 - I/nu;  eta = SigH^-1 hH - q/nu;
#        eigenvalues of Lam floored at LAM_MIN = 1e-6;  shift = ||mu - hH||^2/||hH||^2 with
#        mu = (Lam_clipped + I/nu)^-1 (eta + q/nu).   NOTE clip='eta': eta is NOT recomputed after the floor.
#   lmax > 1 is NOT by itself invalid (Cov(h|q) <= nu I is not required for a non-Gaussian prior) -- it is
#   reported as a scale sanity check, and the GMM reference row shows it is benign.
# ============================================================================================


=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  1 3.9212e-02 3.0751e-03 |  2.439e-16  1.426e-02     5.433  0.000 |  1.64e-16  1.426e-02    3.081  0.000  0.344 |     0.344  0.000e+00  1.007e-03
  2 4.6505e-02 4.3255e-03 |  2.678e-16  1.018e-02     5.019  0.000 |  1.65e-16  1.018e-02    2.833  0.000  0.344 |     0.344  0.000e+00  1.133e-03
  3 5.5155e-02 6.0842e-03 |  3.063e-16  7.257e-03     5.244  0.000 |  1.92e-16  7.257e-03    3.015  0.000  0.359 |     0.359  0.000e+00  1.653e-03
  4 6.5414e-02 8.5579e-03 |  3.524e-16  5.170e-03     5.756  0.000 |  2.29e-16  5.170e-03    3.233  0.000  0.391 |     0.391  0.000e+00  1.474e-03
  5 7.7581e-02 1.2038e-02 |  3.978e-16  3.681e-03     6.205  0.000 |  2.58e-16  3.681e-03    3.449  0.000  0.391 |     0.391  0.000e+00  1.727e-03
  6 9.2011e-02 1.6932e-02 |  4.474e-16  2.620e-03     7.204  0.000 |  2.81e-16  2.620e-03    3.925  0.000  0.422 |     0.422  0.000e+00  4.078e-03
  7 1.0912e-01 2.3816e-02 |  4.989e-16  1.865e-03     7.393  0.000 |  3.00e-16  1.866e-03    3.970  0.000  0.469 |     0.469  0.000e+00  7.624e-03
  8 1.2942e-01 3.3500e-02 |  5.918e-16  1.332e-03     8.986  0.000 |  3.69e-16  1.335e-03    4.777  0.000  0.516 |     0.516  1.962e-05  1.198e-02
  9 1.5349e-01 4.7121e-02 |  6.607e-16  9.639e-04     7.962  0.000 |  3.96e-16  9.714e-04    4.246  0.000  0.594 |     0.594  6.604e-05  1.116e-02
 10 1.8204e-01 6.6280e-02 |  7.919e-16  7.376e-04    10.002  0.000 |  4.55e-16  7.597e-04    5.264  0.000  0.672 |     0.672  4.717e-04  8.388e-03
 11 2.1590e-01 9.3229e-02 |  9.311e-16  6.545e-04     7.526  0.000 |  5.74e-16  7.060e-04    4.038  0.000  0.766 |     0.766  1.383e-03  2.024e-02
 12 2.5606e-01 1.3114e-01 |  1.093e-15  6.942e-04     6.694  0.000 |  6.77e-16  7.529e-04    3.623  0.000  0.812 |     0.812  2.629e-03  3.447e-02
 13 3.0369e-01 1.8445e-01 |  1.263e-15  8.248e-04     6.332  0.000 |  7.52e-16  8.435e-04    3.526  0.000  0.859 |     0.859  3.491e-03  3.988e-02
 14 3.6018e-01 2.5945e-01 |  1.458e-15  8.771e-04     6.335  0.000 |  9.06e-16  9.283e-04    3.413  0.000  0.875 |     0.875  3.581e-03  4.042e-02
 15 4.2717e-01 3.6495e-01 |  1.710e-15  1.408e-03     5.473  0.000 |  1.10e-15  1.471e-03    2.996  0.000  0.938 |     0.938  4.416e-03  4.363e-02
 16 5.0662e-01 5.1333e-01 |  1.916e-15  3.951e-03     4.599  0.000 |  1.22e-15  4.324e-03    2.536  0.000  0.953 |     0.953  6.683e-03  6.241e-02
 17 6.0085e-01 7.2205e-01 |  2.024e-15  9.652e-03     3.621  0.000 |  1.30e-15  1.088e-02    2.041  0.000  0.953 |     0.953  5.075e-03  7.498e-02
 18 7.1261e-01 1.0156e+00 |  2.212e-15  1.346e-02     3.538  0.000 |  1.51e-15  1.391e-02    2.057  0.000  0.953 |     0.953  1.926e-03  9.259e-02
 19 8.4516e-01 1.4286e+00 |  2.328e-15  1.089e-02     4.597  0.000 |  1.53e-15  1.112e-02    2.551  0.000  0.734 |     0.734  6.416e-04  8.977e-02
